province,date,variable,value
Araba/Álava,2000-01-01,avg_precipitation,22.25236766532922
Araba/Álava,2000-02-01,avg_precipitation,23.672783559746634
Araba/Álava,2000-03-01,avg_precipitation,50.38084278702209
Araba/Álava,2000-04-01,avg_precipitation,122.97346178129897
Araba/Álava,2000-05-01,avg_precipitation,69.82404936964095
Araba/Álava,2000-06-01,avg_precipitation,36.92663801706756
Araba/Álava,2000-07-01,avg_precipitation,61.42998839080219
Araba/Álava,2000-08-01,avg_precipitation,32.30644208639688
Araba/Álava,2000-09-01,avg_precipitation,39.399580439520136
Araba/Álava,2000-10-01,avg_precipitation,134.75590134218615
Araba/Álava,2000-11-01,avg_precipitation,175.11517546182205
Araba/Álava,2000-12-01,avg_precipitation,84.7282836717652
Araba/Álava,2001-01-01,avg_precipitation,158.75803987861258
Araba/Álava,2001-02-01,avg_precipitation,33.09647854335119
Araba/Álava,2001-03-01,avg_precipitation,127.15393388867389
Araba/Álava,2001-04-01,avg_precipitation,41.08985926393612
Araba/Álava,2001-05-01,avg_precipitation,44.237907085684014
Araba/Álava,2001-06-01,avg_precipitation,18.742744251410418
Araba/Álava,2001-07-01,avg_precipitation,66.40467219291628
Araba/Álava,2001-08-01,avg_precipitation,46.81305118230515
Araba/Álava,2001-09-01,avg_precipitation,49.06346361433022
Araba/Álava,2001-10-01,avg_precipitation,65.28450681276604
Araba/Álava,2001-11-01,avg_precipitation,56.71938328682866
Araba/Álava,2001-12-01,avg_precipitation,16.268253935925376
Araba/Álava,2002-01-01,avg_precipitation,49.24525957758818
Araba/Álava,2002-02-01,avg_precipitation,48.28279598362495
Araba/Álava,2002-03-01,avg_precipitation,37.82645267724394
Araba/Álava,2002-04-01,avg_precipitation,66.41711643821668
Araba/Álava,2002-05-01,avg_precipitation,101.17049227071827
Araba/Álava,2002-06-01,avg_precipitation,63.98034583189068
Araba/Álava,2002-07-01,avg_precipitation,45.08000162936107
Araba/Álava,2002-08-01,avg_precipitation,89.30992484571985
Araba/Álava,2002-09-01,avg_precipitation,41.92879692050755
Araba/Álava,2002-10-01,avg_precipitation,91.73115542068064
Araba/Álava,2002-11-01,avg_precipitation,97.37422350760704
Araba/Álava,2002-12-01,avg_precipitation,125.9887777755147
Araba/Álava,2003-01-01,avg_precipitation,136.42933664636743
Araba/Álava,2003-02-01,avg_precipitation,79.4025132894764
Araba/Álava,2003-03-01,avg_precipitation,51.27141082303101
Araba/Álava,2003-04-01,avg_precipitation,61.55280148271861
Araba/Álava,2003-05-01,avg_precipitation,70.92938756390147
Araba/Álava,2003-06-01,avg_precipitation,32.67891403083566
Araba/Álava,2003-07-01,avg_precipitation,14.610623434285827
Araba/Álava,2003-08-01,avg_precipitation,39.723965864885244
Araba/Álava,2003-09-01,avg_precipitation,80.31257255748591
Araba/Álava,2003-10-01,avg_precipitation,148.1750544817613
Araba/Álava,2003-11-01,avg_precipitation,84.40601641581293
Araba/Álava,2003-12-01,avg_precipitation,78.76926210309783
Araba/Álava,2004-01-01,avg_precipitation,104.12904539807322
Araba/Álava,2004-02-01,avg_precipitation,75.37544552842216
Araba/Álava,2004-03-01,avg_precipitation,90.32794965274238
Araba/Álava,2004-04-01,avg_precipitation,88.01812664209046
Araba/Álava,2004-05-01,avg_precipitation,61.87686103586634
Araba/Álava,2004-06-01,avg_precipitation,29.123749974541234
Araba/Álava,2004-07-01,avg_precipitation,36.854925762235496
Araba/Álava,2004-08-01,avg_precipitation,43.81219576773455
Araba/Álava,2004-09-01,avg_precipitation,54.24996435772624
Araba/Álava,2004-10-01,avg_precipitation,81.7799140512027
Araba/Álava,2004-11-01,avg_precipitation,63.14548157803623
Araba/Álava,2004-12-01,avg_precipitation,91.03649768834389
Araba/Álava,2005-01-01,avg_precipitation,40.90739118922994
Araba/Álava,2005-02-01,avg_precipitation,54.01338112792518
Araba/Álava,2005-03-01,avg_precipitation,30.597201572333464
Araba/Álava,2005-04-01,avg_precipitation,88.6661031792908
Araba/Álava,2005-05-01,avg_precipitation,55.25045316605226
Araba/Álava,2005-06-01,avg_precipitation,25.025642070103256
Araba/Álava,2005-07-01,avg_precipitation,9.723823295790137
Araba/Álava,2005-08-01,avg_precipitation,24.787103606998098
Araba/Álava,2005-09-01,avg_precipitation,40.18153119208131
Araba/Álava,2005-10-01,avg_precipitation,106.58039878612597
Araba/Álava,2005-11-01,avg_precipitation,150.85716613372972
Araba/Álava,2005-12-01,avg_precipitation,80.3614330230758
Araba/Álava,2006-01-01,avg_precipitation,53.39772704128394
Araba/Álava,2006-02-01,avg_precipitation,64.10937086295039
Araba/Álava,2006-03-01,avg_precipitation,80.09939102629379
Araba/Álava,2006-04-01,avg_precipitation,66.74396627222552
Araba/Álava,2006-05-01,avg_precipitation,42.63677467972871
Araba/Álava,2006-06-01,avg_precipitation,68.31210411617344
Araba/Álava,2006-07-01,avg_precipitation,46.14305790341961
Araba/Álava,2006-08-01,avg_precipitation,20.968594065052233
Araba/Álava,2006-09-01,avg_precipitation,73.28896718874105
Araba/Álava,2006-10-01,avg_precipitation,75.45652660950321
Araba/Álava,2006-11-01,avg_precipitation,77.4560174341636
Araba/Álava,2006-12-01,avg_precipitation,49.77730707346382
Araba/Álava,2007-01-01,avg_precipitation,54.54891138312386
Araba/Álava,2007-02-01,avg_precipitation,100.8921770300821
Araba/Álava,2007-03-01,avg_precipitation,141.53950182284765
Araba/Álava,2007-04-01,avg_precipitation,108.68541110816915
Araba/Álava,2007-05-01,avg_precipitation,94.34422289659666
Araba/Álava,2007-06-01,avg_precipitation,57.53056070388404
Araba/Álava,2007-07-01,avg_precipitation,14.82518992240168
Araba/Álava,2007-08-01,avg_precipitation,58.31566834355079
Araba/Álava,2007-09-01,avg_precipitation,39.444326768365976
Araba/Álava,2007-10-01,avg_precipitation,55.84940630155403
Araba/Álava,2007-11-01,avg_precipitation,36.52284160573536
Araba/Álava,2007-12-01,avg_precipitation,35.96048799364549
Araba/Álava,2008-01-01,avg_precipitation,53.15519664351614
Araba/Álava,2008-02-01,avg_precipitation,34.12560337277745
Araba/Álava,2008-03-01,avg_precipitation,103.62903521456639
Araba/Álava,2008-04-01,avg_precipitation,91.55394203547935
Araba/Álava,2008-05-01,avg_precipitation,182.25678730727714
Araba/Álava,2008-06-01,avg_precipitation,72.11794537566958
Araba/Álava,2008-07-01,avg_precipitation,27.764740626082002
Araba/Álava,2008-08-01,avg_precipitation,28.541314487056773
Araba/Álava,2008-09-01,avg_precipitation,45.24198048840097
Araba/Álava,2008-10-01,avg_precipitation,125.35281777632936
Araba/Álava,2008-11-01,avg_precipitation,115.55320882299024
Araba/Álava,2008-12-01,avg_precipitation,113.74700095724967
Araba/Álava,2009-01-01,avg_precipitation,104.44007006252664
Araba/Álava,2009-02-01,avg_precipitation,54.08124401718974
Araba/Álava,2009-03-01,avg_precipitation,55.05884030224644
Araba/Álava,2009-04-01,avg_precipitation,79.17130695126177
Araba/Álava,2009-05-01,avg_precipitation,50.28906902380905
Araba/Álava,2009-06-01,avg_precipitation,33.159962524695004
Araba/Álava,2009-07-01,avg_precipitation,17.55891158679402
Araba/Álava,2009-08-01,avg_precipitation,33.18409743579299
Araba/Álava,2009-09-01,avg_precipitation,66.71638933583168
Araba/Álava,2009-10-01,avg_precipitation,60.16817043116966
Araba/Álava,2009-11-01,avg_precipitation,123.91128128882455
Araba/Álava,2009-12-01,avg_precipitation,123.4748976557567
Araba/Álava,2010-01-01,avg_precipitation,110.27067761054188
Araba/Álava,2010-02-01,avg_precipitation,61.501211837308276
Araba/Álava,2010-03-01,avg_precipitation,53.82802093728996
Araba/Álava,2010-04-01,avg_precipitation,48.15134727794864
Araba/Álava,2010-05-01,avg_precipitation,69.26499521375176
Araba/Álava,2010-06-01,avg_precipitation,92.0113851605939
Araba/Álava,2010-07-01,avg_precipitation,30.40357237418276
Araba/Álava,2010-08-01,avg_precipitation,14.467667365934131
Araba/Álava,2010-09-01,avg_precipitation,37.01987820525876
Araba/Álava,2010-10-01,avg_precipitation,79.2534063830221
Araba/Álava,2010-11-01,avg_precipitation,112.19715269150086
Araba/Álava,2010-12-01,avg_precipitation,98.26352878877371
Araba/Álava,2011-01-01,avg_precipitation,44.241960121387386
Araba/Álava,2011-02-01,avg_precipitation,74.65526792806367
Araba/Álava,2011-03-01,avg_precipitation,70.92225910914684
Araba/Álava,2011-04-01,avg_precipitation,54.345852257683404
Araba/Álava,2011-05-01,avg_precipitation,54.86172834477277
Araba/Álava,2011-06-01,avg_precipitation,52.95617018676553
Araba/Álava,2011-07-01,avg_precipitation,45.10878021955638
Araba/Álava,2011-08-01,avg_precipitation,28.03472575816208
Araba/Álava,2011-09-01,avg_precipitation,31.43675023931239
Araba/Álava,2011-10-01,avg_precipitation,35.1508584696226
Araba/Álava,2011-11-01,avg_precipitation,94.23179698160857
Araba/Álava,2011-12-01,avg_precipitation,62.10651948104846
Araba/Álava,2012-01-01,avg_precipitation,54.69732581111631
Araba/Álava,2012-02-01,avg_precipitation,35.974337562883136
Araba/Álava,2012-03-01,avg_precipitation,28.65761013462596
Araba/Álava,2012-04-01,avg_precipitation,146.07476730686972
